site_number,year,site_address,local_site_name,count,min,max,average,med
0002,2017,2105 BROADWAY,DENVER - CAMP,122,11,90,29.188524590163933,27
0002,2018,2105 BROADWAY,DENVER - CAMP,120,9,149,29.733333333333334,27
0002,2019,2105 BROADWAY,DENVER - CAMP,120,8,79,29.666666666666668,26.5
0002,2020,2105 BROADWAY,DENVER - CAMP,121,5,109,31.727272727272727,26
0002,2021,2105 BROADWAY,DENVER - CAMP,120,9,64,29.983333333333334,28
0008,2017,4201 E. 72nd. Avenue,Tri County Health Dept. Bldg.,344,2,124,35.25,32.5
0008,2018,4201 E. 72nd. Avenue,Tri County Health Dept. Bldg.,361,3,158,35.91412742382271,31
0008,2019,4201 E. 72nd. Avenue,Tri County Health Dept. Bldg.,359,3,119,34.58217270194986,32
0008,2020,4201 E. 72nd. Avenue,Tri County Health Dept. Bldg.,303,0,139,36.63036303630363,31
0010,2021,7275 Birch St,Birch Street,233,5,104,36.60944206008584,34
0026,2017,4545 Navajo St.,La Casa,173,5,81,22.45664739884393,19
0026,2018,4545 Navajo St.,La Casa,180,4,102,22.516666666666666,20
0026,2019,4545 Navajo St.,La Casa,176,4,61,22.068181818181817,21.5
0026,2020,4545 Navajo St.,La Casa,177,3,80,23.11864406779661,18
0026,2021,4545 Navajo St.,La Casa,153,1,64,24.013071895424837,22
3001,2017,3174 E. 78TH AVE.,Welby,568,2,82,24.295613258802817,22.166667
3001,2018,3174 E. 78TH AVE.,Welby,677,2,106,30.375434590841948,26.166667
3001,2019,3174 E. 78TH AVE.,Welby,730,2,90.45,31.13415351780822,28.770833500000002
3001,2020,3174 E. 78TH AVE.,Welby,778,2,111.571429,35.04952035604113,30
3001,2021,3174 E. 78TH AVE.,Welby,734,1,99.823529,39.07749980790191,37.1
