site_number,year,local_site_name,site_address,count,min,max,average,med
0002,2017,DENVER - CAMP,2105 BROADWAY,6629,1.3,46.375,7.5552247687434,6.3
0002,2018,DENVER - CAMP,2105 BROADWAY,6540,0.825,45.1625,7.837032734250765,7
0002,2019,DENVER - CAMP,2105 BROADWAY,6517,0.7,53.404167,7.42229968144852,6
0002,2020,DENVER - CAMP,2105 BROADWAY,6646,1,41.233333,8.179823370147457,6.2
0002,2021,DENVER - CAMP,2105 BROADWAY,6261,0.8,46.2375,8.838843865037534,6.6
0004,2017,Chatfield State Park,11500 N. Roxborough Park Rd.,5010,1.2,62.3875,7.261527034131737,5.8
0004,2018,Chatfield State Park,11500 N. Roxborough Park Rd.,7713,0.470588,46.604348,6.907866994943602,5.454545
0004,2019,Chatfield State Park,11500 N. Roxborough Park Rd.,7144,0.5,52.733333,5.693599726063829,4.9
0004,2020,Chatfield State Park,11500 N. Roxborough Park Rd.,7697,0.3,45.070833,6.454692112641289,4.4
0004,2021,Chatfield State Park,11500 N. Roxborough Park Rd.,7293,0,62.783333,7.437555117921295,4.8
0005,2017,Arapahoe Community College,6190 S. SANTA FE DR.,960,1.4,37.5,6.085833333333333,4.85
0005,2018,Arapahoe Community College,6190 S. SANTA FE DR.,976,1.4,28.2,6.298360655737705,5.4
0005,2019,Arapahoe Community College,6190 S. SANTA FE DR.,944,1.5,28,6.016101694915254,4.75
0005,2020,Arapahoe Community College,6190 S. SANTA FE DR.,936,0.9,32.5,5.906837606837607,4.4
0005,2021,Arapahoe Community College,6190 S. SANTA FE DR.,816,0.7,45.3,7.151960784313726,4.6
0008,2017,Tri County Health Dept. Bldg.,4201 E. 72nd. Avenue,3621,0.6,48,9.662249780171223,8.6
0008,2018,Tri County Health Dept. Bldg.,4201 E. 72nd. Avenue,3527,1.7,47.241667,10.280622190813723,9.4
0008,2019,Tri County Health Dept. Bldg.,4201 E. 72nd. Avenue,3689,0.8,47.979167,8.975399217945242,7.6
0008,2020,Tri County Health Dept. Bldg.,4201 E. 72nd. Avenue,3162,1.3,41.3,9.08309736401012,7.2
0010,2021,Birch Street,7275 Birch St,2923,2.3,55.745833,9.528702817310982,7.9
0013,2018,DENVER - NJH-E,14TH AVE. & ALBION ST.,5548,1.4,43.454167,7.079089295782264,6.1
0013,2019,DENVER - NJH-E,14TH AVE. & ALBION ST.,6935,1.6,47.5125,7.019561043403028,5.816667
0013,2020,DENVER - NJH-E,14TH AVE. & ALBION ST.,6954,1.2,50.2125,8.728163078084556,6.3
0013,2021,DENVER - NJH-E,14TH AVE. & ALBION ST.,6754,1.3,64.8375,9.1957561443589,6.3
0026,2017,La Casa,4545 Navajo St.,4245,0.6,44.1,7.441246194110718,6.3
0026,2018,La Casa,4545 Navajo St.,4294,1.2,41.870833,7.53560872659525,6.6
0026,2019,La Casa,4545 Navajo St.,7761,1.1,58.608333,7.258657116608685,6
0026,2020,La Casa,4545 Navajo St.,7771,1.2,51.629167,8.584064066915454,6.2
0026,2021,La Casa,4545 Navajo St.,7444,0.5,56.833333,8.214251997447608,6.1
0027,2017,I-25,971 Yuma Street,3688,2.2,44.4,8.101184672993492,6.9
0027,2018,I-25,971 Yuma Street,3492,1.9,38.320833,8.358442278064146,7.7
0027,2019,I-25,971 Yuma Street,3666,0.6,51.9875,8.219085480087289,6.6
0027,2020,I-25,971 Yuma Street,3717,1.4,37.640909,8.599270891848265,7
0027,2021,I-25,971 Yuma Street,3677,1.1,44.3,9.039756740005439,7.1
0028,2017,Globeville,4903 Acoma St.,3234,2.8,37.6625,8.877943780457638,7.7
0028,2018,Globeville,4903 Acoma St.,3103,0,55.466667,9.128889872059297,7.7
0028,2019,Globeville,4903 Acoma St.,3191,2.3,56.525,10.040387598871828,8.3
0028,2020,Globeville,4903 Acoma St.,3139,1.7,46.995833,10.47650054953807,8.4
0028,2021,Globeville,4903 Acoma St.,3118,1.1,44.958333,9.996739151699808,8.3
