site_number,site_address,year,local_site_name,count,min,max,average,med
0002,2105 BROADWAY,2017,DENVER - CAMP,1793,-0.1,2.725,0.7852149721137758,0.7
0002,2105 BROADWAY,2018,DENVER - CAMP,1729,-0.033333,6.645833,0.6854962666281087,0.566667
0002,2105 BROADWAY,2019,DENVER - CAMP,1810,-0.1,6.2,0.685546582320442,0.5645835
0002,2105 BROADWAY,2020,DENVER - CAMP,1830,0,4.3,0.6099364273224044,0.541667
0002,2105 BROADWAY,2021,DENVER - CAMP,1786,-0.716667,3.1,0.41015509294512875,0.375
0026,4545 Navajo St.,2017,La Casa,1822,-0.013043,3.814286,0.7763141470911087,0.652174
0026,4545 Navajo St.,2018,La Casa,1807,-0.03913,8.244444,0.5878919513004981,0.430435
0026,4545 Navajo St.,2019,La Casa,1778,0,3.447826,0.7032139600674916,0.569565
0026,4545 Navajo St.,2020,La Casa,1790,-0.1,4.330769,0.4723379910614525,0.4
0026,4545 Navajo St.,2021,La Casa,1733,-0.247826,3.117391,0.4459283294864397,0.368182
3001,3174 E. 78TH AVE.,2017,Welby,1782,-0.1,2.945833,0.9585148204264871,0.8403985
3001,3174 E. 78TH AVE.,2018,Welby,1773,-0.2,3.7,0.8785210394811055,0.770833
3001,3174 E. 78TH AVE.,2019,Welby,1731,0,2.9,0.8784324841132294,0.783333
3001,3174 E. 78TH AVE.,2020,Welby,1826,0,2.5,0.6847195021905805,0.6125
3001,3174 E. 78TH AVE.,2021,Welby,1697,-0.316667,2.5,0.6609858350029464,0.6
